created_at,mint,symbol,refusal_reason,token_peak,token_label,inflow,trigger_mult,signature
2026-07-24 19:46:26.722573+00,4zNZUe26BGKCEU3ANafDF2XQC4Y1k6KZvZPNdaxWGMyR,Robinhood,"trigger 1.67× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",2.172,winner,1.314,1.671,RUG_RISK
2026-07-24 19:50:26.203197+00,FRe5oAocFTUBMjzGcCEc4T9rM448x6qwuQj7aP5UDFLV,Cooper,"inflow 1.15× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",1.927,rug,1.146,1.313,BASE
2026-07-24 19:55:59.482928+00,4TjLjWeyYD9T1jXYeaF7YfWcm9DQZV3QdkdxucwpfNWG,upsey,"trigger 1.76× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",1.756,rug,1.337,1.756,MOON_STEADY
2026-07-24 19:56:16.707915+00,G8jMHK9E5G5rufpjyd6115pWCd3e3PTSdBKRPbTvvbQd,BOUNCE,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),3.916,winner,1.134,1.285,RUG_RISK
2026-07-24 20:03:57.547254+00,DxrMzbtJQHXsjyGtr56HuqTRBfYKC6jVyvsTFUmghWdE,EMINT,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),2.924,winner,1.138,1.293,RUG_RISK
2026-07-24 20:06:39.503394+00,4fFqAQHrQVZxs6riZKCbZ8W5rXXUKFvagCfy7ooE5DGq,LeRacist,"inflow 1.11× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",3.126,winner,1.107,1.223,RISER
2026-07-24 20:08:09.393008+00,EViqJRNzhnZMqpwaNBxqX7S1KJRXftERgkTDpcuoJPau,COW,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),7.377,winner,1.123,1.263,RUG_RISK
2026-07-24 20:20:00.636666+00,ABWcbW3Ex5WQdDSE48dZomaf3gQEaq3GQmiaJ53JZLQC,NoPa,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),4.420,winner,1.122,1.259,RUG_RISK
2026-07-24 20:22:08.829437+00,5KsfDRRUbm3dCnnV82YrjQKyCpSLsLFNSEWbcsucpgZh,Looongcat,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.768,rug,1.330,1.768,RUG_RISK
2026-07-24 20:22:52.63152+00,EayvHD92yBtRZrddncYTyiibCty7HDNPmPUVBACtrbhS,Prospera,"inflow 1.16× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",8.883,winner,1.162,1.349,RISER
2026-07-24 20:29:17.480449+00,4xgHJaPebkBKZxUXdusE7TwPr2AvXE4Q8T6Taki6Q3hV,Pets,"inflow 1.20× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",15.133,winner,1.197,1.445,BASE
2026-07-24 20:46:16.587913+00,DKtVJrje2QZhJjr8mqTzcYsRMuf4wGHHAaA2e7DbLagi,AGI,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),2.047,winner,1.144,1.274,RUG_RISK
2026-07-24 20:49:24.329781+00,EkqqJT71HJqJHtw1kKgYGvHWgAwQrTzocFsH1fphhv5W,MEMENOTE,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.794,rug,1.157,1.341,RUG_RISK
2026-07-24 20:52:15.542892+00,56WEG217sR6kXk1Bb9GptLkjhTtWtbGnp97xTrfJJHvH,USOH,"trigger 1.95× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",4.353,winner,1.397,1.951,BASE
2026-07-24 21:05:01.566235+00,9BrmT3Lg2TRFPgzySdMH12McJQco7HZ36ztCqPNRmj4P,MU,"inflow 1.13× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",1.309,dud,1.127,1.271,RISER
2026-07-24 21:07:16.815201+00,GGVjm7Jg51QoC339rZULdoGscKepe3FKWRXrBPGUjZ6,FORMER,"inflow 1.13× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",12.198,winner,1.134,1.288,BASE
2026-07-24 21:13:16.531632+00,HX9bYEjc7mt9Je1K1gaVNSaZE2PPMWWymXAfBVwyS43V,Gorb,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),2.004,winner,1.135,1.285,RUG_RISK
